"Package","Version","License","Priority","Action"
"Matrix","1.7-4","GPL (>= 2) | file LICENCE","recommended","keep"
"matrixcalc","1.0-6","GPL (>= 2)","","keep"
"MatrixModels","0.5-4","GPL (>= 2)","","keep"
"matrixStats","1.5.0","Artistic-2.0","","keep"
"maxLik","1.5-2.2","GPL (>= 2)","","keep"
"memoise","2.0.1","MIT + file LICENSE","","keep"
"methods","4.5.3","Part of R 4.5.3","base","keep"
"mgcv","1.9-4","GPL (>= 2)","recommended","keep"
"mice","3.19.0","GPL (>= 2)","","keep"
"microbenchmark","1.5.0","BSD_2_clause + file LICENSE","","keep"
"mime","0.13","GPL","","keep"
"minqa","1.2.8","GPL-2","","keep"
"miscTools","0.6-30","GPL (>= 2)","","keep"
"mitml","0.4-5","GPL (>= 2)","","keep"
"mitools","2.4","GPL-2","","keep"
"mmrm","0.3.18","Apache License 2.0","","keep"
"mnormt","2.1.2","GPL-2 | GPL-3","","keep"
"modelr","0.1.11","GPL-3","","keep"
"mpoly","1.1.2","GPL-2","","keep"
"multipol","1.0-9","GPL","","keep"
"mvtnorm","1.3-3","GPL-2","","keep"
"nleqslv","3.3.7","GPL (>= 2)","","keep"
"nlme","3.1-168","GPL (>= 2)","recommended","keep"
"nloptr","2.2.1","LGPL (>= 3)","","keep"
"nnet","7.3-20","GPL-2 | GPL-3","recommended","keep"
"nortest","1.0-4","GPL (>= 2)","","keep"
"numDeriv","2016.8-1.1","GPL-2","","keep"
"officer","0.7.3","MIT + file LICENSE","","keep"
"openssl","2.3.4","MIT + file LICENSE","","keep"
"openxlsx","4.2.8.1","MIT + file LICENSE","","keep"
"ordinal","2025.12-29","GPL (>= 2)","","keep"
"orthopolynom","1.0-6.1","GPL (>= 2)","","keep"
"otel","0.2.0","MIT + file LICENSE","","keep"
"pan","1.9","GPL-3","","keep"
"parallel","4.5.3","Part of R 4.5.3","base","keep"
"parallelly","1.48.0","LGPL (>= 2.1)","","keep"
"partitions","1.10-9","GPL","","keep"
"pbivnorm","0.6.0","GPL (>= 2)","","keep"
"pbkrtest","0.5.5","GPL (>= 2)","","keep"
"PearsonDS","1.3.2","GPL (>= 2)","","keep"
"pillar","1.11.1","MIT + file LICENSE","","keep"
"pkgbuild","1.4.8","MIT + file LICENSE","","keep"
"pkgconfig","2.0.3","MIT + file LICENSE","","keep"
"pkgload","1.5.2","MIT + file LICENSE","","keep"
"plm","2.6-7","GPL (>= 2)","","keep"
"plyr","1.8.9","MIT + file LICENSE","","keep"
"polycor","0.8-2","GPL (>= 2)","","keep"
"polynom","1.4-1","GPL-2","","keep"
"praise","1.0.0","MIT + file LICENSE","","keep"
"prettyunits","1.2.0","MIT + file LICENSE","","keep"
"processx","3.8.6","MIT + file LICENSE","","keep"
"progress","1.2.3","MIT + file LICENSE","","keep"
"progressr","1.0.0","Apache License (>= 2)","","keep"
"promises","1.5.0","MIT + file LICENSE","","keep"
"ps","1.9.1","MIT + file LICENSE","","keep"
"psych","2.6.5","GPL (>= 2)","","keep"
"purrr","1.2.1","MIT + file LICENSE","","keep"
"qrng","0.0-11","GPL-2 | GPL-3","","keep"
"quadprog","1.5-8","GPL (>= 2)","","keep"
"quantreg","6.1","GPL (>= 2)","","keep"
"R6","2.6.1","MIT + file LICENSE","","keep"
"ragg","1.5.0","MIT + file LICENSE","","keep"
"rappdirs","0.3.4","MIT + file LICENSE","","keep"
"rbibutils","2.4.1","GPL-2","","keep"
"RColorBrewer","1.1-3","Apache License 2.0","","keep"
"Rcpp","1.1.1","GPL (>= 2)","","keep"
"RcppArmadillo","15.2.4-1","GPL (>= 2)","","keep"
"RcppEigen","0.3.4.0.2","GPL (>= 2) | file LICENSE","","keep"
"Rdpack","2.6.6","GPL (>= 2)","","keep"
"readr","2.2.0","MIT + file LICENSE","","keep"
"readxl","1.4.5","MIT + file LICENSE","","keep"
"reformulas","0.4.4","GPL-3","","keep"
"rematch","2.0.0","MIT + file LICENSE","","keep"
"rlang","1.1.7","MIT + file LICENSE","","keep"
"rmarkdown","2.30","GPL-3","","keep"
"rpart","4.1.24","GPL-2 | GPL-3","recommended","keep"
"rprojroot","2.1.1","MIT + file LICENSE","","keep"
"rstudioapi","0.18.0","MIT + file LICENSE","","keep"
"rvest","1.0.5","MIT + file LICENSE","","keep"
"S7","0.2.1","MIT + file LICENSE","","keep"
"sandwich","3.1-1","GPL-2 | GPL-3","","keep"
"sass","0.4.10","MIT + file LICENSE","","keep"
"scales","1.4.0","MIT + file LICENSE","","keep"
"selectr","0.5-1","BSD_3_clause + file LICENCE","","keep"
"seminr","2.5.0","GPL-3","","keep"
"sets","1.0-25","GPL-2","","keep"
"shape","1.4.6.1","GPL (>= 3)","","keep"
"shiny","1.13.0","MIT + file LICENSE","","keep"
"sourcetools","0.1.7-2","MIT + file LICENSE","","keep"
"spacefillr","0.4.0","MIT + file LICENSE","","keep"
"SparseM","1.84-2","GPL (>= 2)","","keep"
"spatial","7.3-18","GPL-2 | GPL-3","recommended","keep"
"splines","4.5.3","Part of R 4.5.3","base","keep"
"stats","4.5.3","Part of R 4.5.3","base","keep"
"stats4","4.5.3","Part of R 4.5.3","base","keep"
"stringi","1.8.7","file LICENSE","","keep"
"stringr","1.6.0","MIT + file LICENSE","","keep"
"survey","4.5","GPL-2 | GPL-3","","keep"
"survival","3.8-6","LGPL (>= 2)","recommended","keep"
"svyVGAM","1.3","GPL-3","","keep"
"symmoments","1.2.2","GPL","","keep"
"sys","3.4.3","MIT + file LICENSE","","keep"
"systemfonts","1.3.1","MIT + file LICENSE","","keep"
"tcltk","4.5.3","Part of R 4.5.3","base","keep"
