"Component","Scope","Package","Version","License","Risk","URL","LicenseFiles","Notes"
"R package: microbenchmark","Bundled dependency","microbenchmark","1.5.0","BSD_2_clause + file LICENSE","permissive-or-other","https://github.com/joshuaulrich/microbenchmark/","R-microbenchmark-1.5.0-LICENSE",""
"R package: openssl","Bundled dependency","openssl","2.3.4","MIT + file LICENSE","permissive-or-other","https://jeroen.r-universe.dev/openssl","R-openssl-2.3.4-LICENSE",""
"R package: otel","Bundled dependency","otel","0.2.0","MIT + file LICENSE","permissive-or-other","https://otel.r-lib.org, https://github.com/r-lib/otel","R-otel-0.2.0-LICENSE",""
"R package: pillar","Bundled dependency","pillar","1.11.1","MIT + file LICENSE","permissive-or-other","https://pillar.r-lib.org/, https://github.com/r-lib/pillar","R-pillar-1.11.1-LICENSE",""
"R package: pkgbuild","Bundled dependency","pkgbuild","1.4.8","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/pkgbuild, https://pkgbuild.r-lib.org","R-pkgbuild-1.4.8-LICENSE",""
"R package: pkgconfig","Bundled dependency","pkgconfig","2.0.3","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/pkgconfig#readme","R-pkgconfig-2.0.3-LICENSE",""
"R package: pkgload","Bundled dependency","pkgload","1.5.2","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/pkgload, https://pkgload.r-lib.org","R-pkgload-1.5.2-LICENSE",""
"R package: plyr","Bundled dependency","plyr","1.8.9","MIT + file LICENSE","permissive-or-other","http://had.co.nz/plyr, https://github.com/hadley/plyr","R-plyr-1.8.9-LICENSE",""
"R package: praise","Bundled dependency","praise","1.0.0","MIT + file LICENSE","permissive-or-other","https://github.com/gaborcsardi/praise","R-praise-1.0.0-LICENSE",""
"R package: prettyunits","Bundled dependency","prettyunits","1.2.0","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/prettyunits","R-prettyunits-1.2.0-LICENSE",""
"R package: processx","Bundled dependency","processx","3.8.6","MIT + file LICENSE","permissive-or-other","https://processx.r-lib.org, https://github.com/r-lib/processx","R-processx-3.8.6-LICENSE",""
"R package: progress","Bundled dependency","progress","1.2.3","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/progress#readme,
http://r-lib.github.io/progress/","R-progress-1.2.3-LICENSE",""
"R package: progressr","Bundled dependency","progressr","1.0.0","Apache License (>= 2)","permissive-or-other","https://progressr.futureverse.org,
https://github.com/futureverse/progressr","",""
"R package: promises","Bundled dependency","promises","1.5.0","MIT + file LICENSE","permissive-or-other","https://rstudio.github.io/promises/,
https://github.com/rstudio/promises","R-promises-1.5.0-LICENSE",""
"R package: ps","Bundled dependency","ps","1.9.1","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/ps, https://ps.r-lib.org/","R-ps-1.9.1-LICENSE",""
"R package: purrr","Bundled dependency","purrr","1.2.1","MIT + file LICENSE","permissive-or-other","https://purrr.tidyverse.org/, https://github.com/tidyverse/purrr","R-purrr-1.2.1-LICENSE",""
"R package: R6","Bundled dependency","R6","2.6.1","MIT + file LICENSE","permissive-or-other","https://r6.r-lib.org, https://github.com/r-lib/R6","R-R6-2.6.1-LICENSE",""
"R package: ragg","Bundled dependency","ragg","1.5.0","MIT + file LICENSE","permissive-or-other","https://ragg.r-lib.org, https://github.com/r-lib/ragg","R-ragg-1.5.0-LICENSE",""
"R package: rappdirs","Bundled dependency","rappdirs","0.3.4","MIT + file LICENSE","permissive-or-other","https://rappdirs.r-lib.org, https://github.com/r-lib/rappdirs","R-rappdirs-0.3.4-LICENSE",""
"R package: RColorBrewer","Bundled dependency","RColorBrewer","1.1-3","Apache License 2.0","permissive-or-other","https://cran.r-project.org/package=RColorBrewer","R-RColorBrewer-1.1-3-COPYING",""
"R package: rematch","Bundled dependency","rematch","2.0.0","MIT + file LICENSE","permissive-or-other","https://github.com/gaborcsardi/rematch","R-rematch-2.0.0-LICENSE",""
"R package: rlang","Bundled dependency","rlang","1.1.7","MIT + file LICENSE","permissive-or-other","https://rlang.r-lib.org, https://github.com/r-lib/rlang","R-rlang-1.1.7-LICENSE",""
"R package: rprojroot","Bundled dependency","rprojroot","2.1.1","MIT + file LICENSE","permissive-or-other","https://rprojroot.r-lib.org/, https://github.com/r-lib/rprojroot","R-rprojroot-2.1.1-LICENSE",""
"R package: rstudioapi","Bundled dependency","rstudioapi","0.18.0","MIT + file LICENSE","permissive-or-other","https://rstudio.github.io/rstudioapi/,
https://github.com/rstudio/rstudioapi","R-rstudioapi-0.18.0-LICENSE",""
"R package: S7","Bundled dependency","S7","0.2.1","MIT + file LICENSE","permissive-or-other","https://rconsortium.github.io/S7/,
https://github.com/RConsortium/S7","R-S7-0.2.1-LICENSE",""
"R package: sass","Bundled dependency","sass","0.4.10","MIT + file LICENSE","permissive-or-other","https://rstudio.github.io/sass/, https://github.com/rstudio/sass","R-sass-0.4.10-LICENSE",""
"R package: scales","Bundled dependency","scales","1.4.0","MIT + file LICENSE","permissive-or-other","https://scales.r-lib.org, https://github.com/r-lib/scales","R-scales-1.4.0-LICENSE",""
"R package: selectr","Bundled dependency","selectr","0.5-1","BSD_3_clause + file LICENCE","permissive-or-other","https://sjp.co.nz/projects/selectr/","R-selectr-0.5-1-LICENCE",""
"R package: sourcetools","Bundled dependency","sourcetools","0.1.7-2","MIT + file LICENSE","permissive-or-other","https://cran.r-project.org/package=sourcetools","R-sourcetools-0.1.7-2-LICENSE",""
"R package: spacefillr","Bundled dependency","spacefillr","0.4.0","MIT + file LICENSE","permissive-or-other","https://github.com/tylermorganwall/spacefillr","R-spacefillr-0.4.0-LICENSE",""
"R package: stringi","Bundled dependency","stringi","1.8.7","file LICENSE","permissive-or-other","https://stringi.gagolewski.com/,
https://github.com/gagolews/stringi, https://icu.unicode.org/","R-stringi-1.8.7-LICENSE",""
"R package: stringr","Bundled dependency","stringr","1.6.0","MIT + file LICENSE","permissive-or-other","https://stringr.tidyverse.org,
https://github.com/tidyverse/stringr","R-stringr-1.6.0-LICENSE",""
"R package: sys","Bundled dependency","sys","3.4.3","MIT + file LICENSE","permissive-or-other","https://jeroen.r-universe.dev/sys","R-sys-3.4.3-LICENSE",""
"R package: systemfonts","Bundled dependency","systemfonts","1.3.1","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/systemfonts,
https://systemfonts.r-lib.org","R-systemfonts-1.3.1-LICENSE",""
"R package: testthat","Bundled dependency","testthat","3.3.2","MIT + file LICENSE","permissive-or-other","https://testthat.r-lib.org, https://github.com/r-lib/testthat","R-testthat-3.3.2-LICENSE",""
"R package: textshaping","Bundled dependency","textshaping","1.0.4","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/textshaping","R-textshaping-1.0.4-LICENSE",""
"R package: tibble","Bundled dependency","tibble","3.3.1","MIT + file LICENSE","permissive-or-other","https://tibble.tidyverse.org/, https://github.com/tidyverse/tibble","R-tibble-3.3.1-LICENSE",""
"R package: tidyr","Bundled dependency","tidyr","1.3.2","MIT + file LICENSE","permissive-or-other","https://tidyr.tidyverse.org, https://github.com/tidyverse/tidyr","R-tidyr-1.3.2-LICENSE",""
"R package: tidyselect","Bundled dependency","tidyselect","1.2.1","MIT + file LICENSE","permissive-or-other","https://tidyselect.r-lib.org, https://github.com/r-lib/tidyselect","R-tidyselect-1.2.1-LICENSE",""
"R package: tinytex","Bundled dependency","tinytex","0.58","MIT + file LICENSE","permissive-or-other","https://github.com/rstudio/tinytex","R-tinytex-0.58-LICENSE",""
"R package: translations","Bundled dependency","translations","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=translations","",""
"R package: tzdb","Bundled dependency","tzdb","0.5.0","MIT + file LICENSE","permissive-or-other","https://tzdb.r-lib.org, https://github.com/r-lib/tzdb","R-tzdb-0.5.0-LICENSE",""
"R package: utf8","Bundled dependency","utf8","1.2.6","Apache License (== 2.0) | file LICENSE","permissive-or-other","https://krlmlr.github.io/utf8/, https://github.com/krlmlr/utf8","R-utf8-1.2.6-LICENSE",""
"R package: uuid","Bundled dependency","uuid","1.2-2","MIT + file LICENSE","permissive-or-other","https://www.rforge.net/uuid","R-uuid-1.2-2-LICENSE; R-uuid-1.2-2-COPYING",""
"R package: V8","Bundled dependency","V8","8.0.1","MIT + file LICENSE","permissive-or-other","https://jeroen.r-universe.dev/V8","R-V8-8.0.1-LICENSE",""
"R package: vctrs","Bundled dependency","vctrs","0.7.1","MIT + file LICENSE","permissive-or-other","https://vctrs.r-lib.org/, https://github.com/r-lib/vctrs","R-vctrs-0.7.1-LICENSE",""
"R package: viridisLite","Bundled dependency","viridisLite","0.4.3","MIT + file LICENSE","permissive-or-other","https://sjmgarnier.github.io/viridisLite/,
https://github.com/sjmgarnier/viridisLite/","R-viridisLite-0.4.3-LICENSE",""
"R package: visNetwork","Bundled dependency","visNetwork","2.1.4","MIT + file LICENSE","permissive-or-other","https://datastorm-open.github.io/visNetwork/","R-visNetwork-2.1.4-LICENSE; R-visNetwork-2.1.4-NOTICE",""
"R package: vroom","Bundled dependency","vroom","1.7.0","MIT + file LICENSE","permissive-or-other","https://vroom.tidyverse.org, https://github.com/tidyverse/vroom","R-vroom-1.7.0-LICENSE",""
"R package: waldo","Bundled dependency","waldo","0.6.2","MIT + file LICENSE","permissive-or-other","https://waldo.r-lib.org, https://github.com/r-lib/waldo","R-waldo-0.6.2-LICENSE",""
"R package: withr","Bundled dependency","withr","3.0.2","MIT + file LICENSE","permissive-or-other","https://withr.r-lib.org, https://github.com/r-lib/withr#readme","R-withr-3.0.2-LICENSE",""
"R package: xfun","Bundled dependency","xfun","0.56","MIT + file LICENSE","permissive-or-other","https://github.com/yihui/xfun","R-xfun-0.56-LICENSE",""
"R package: yaml","Bundled dependency","yaml","2.3.12","BSD_3_clause + file LICENSE","permissive-or-other","https://yaml.r-lib.org, https://github.com/r-lib/yaml/","R-yaml-2.3.12-LICENSE",""
"R package: zip","Bundled dependency","zip","2.3.3","MIT + file LICENSE","permissive-or-other","https://github.com/r-lib/zip, https://r-lib.github.io/zip/","R-zip-2.3.3-LICENSE",""
"R package: class","R base/recommended","class","7.3-23","GPL-2 | GPL-3","GPL","http://www.stats.ox.ac.uk/pub/MASS4/","",""
"R package: cluster","R base/recommended","cluster","2.1.8.2","GPL (>= 2)","GPL","https://svn.r-project.org/R-packages/trunk/cluster/","",""
"R package: codetools","R base/recommended","codetools","0.2-20","GPL","GPL","https://gitlab.com/luke-tierney/codetools","",""
"R package: lattice","R base/recommended","lattice","0.22-9","GPL (>= 2)","GPL","https://lattice.r-forge.r-project.org/","",""
"R package: Matrix","R base/recommended","Matrix","1.7-4","GPL (>= 2) | file LICENCE","GPL","https://Matrix.R-forge.R-project.org","R-Matrix-1.7-4-LICENCE",""
"R package: mgcv","R base/recommended","mgcv","1.9-4","GPL (>= 2)","GPL","https://cran.r-project.org/package=mgcv","",""
"R package: nlme","R base/recommended","nlme","3.1-168","GPL (>= 2)","GPL","https://svn.r-project.org/R-packages/trunk/nlme/","",""
"R package: rpart","R base/recommended","rpart","4.1.24","GPL-2 | GPL-3","GPL","https://github.com/bethatkinson/rpart,
https://cran.r-project.org/package=rpart","",""
"R package: spatial","R base/recommended","spatial","7.3-18","GPL-2 | GPL-3","GPL","http://www.stats.ox.ac.uk/pub/MASS4/","",""
"R package: base","R base/recommended","base","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=base","",""
"R package: compiler","R base/recommended","compiler","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=compiler","",""
"R package: datasets","R base/recommended","datasets","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=datasets","",""
"R package: graphics","R base/recommended","graphics","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=graphics","",""
"R package: grDevices","R base/recommended","grDevices","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=grDevices","",""
"R package: grid","R base/recommended","grid","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=grid","",""
"R package: KernSmooth","R base/recommended","KernSmooth","2.23-26","Unlimited","permissive-or-other","https://cran.r-project.org/package=KernSmooth","",""
"R package: methods","R base/recommended","methods","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=methods","",""
"R package: parallel","R base/recommended","parallel","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=parallel","",""
"R package: splines","R base/recommended","splines","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=splines","",""
"R package: stats","R base/recommended","stats","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=stats","",""
"R package: stats4","R base/recommended","stats4","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=stats4","",""
"R package: tcltk","R base/recommended","tcltk","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=tcltk","",""
"R package: tools","R base/recommended","tools","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=tools","",""
"R package: utils","R base/recommended","utils","4.5.3","Part of R 4.5.3","permissive-or-other","https://cran.r-project.org/package=utils","",""
