"Component","Scope","Package","Version","License","Risk","URL","LicenseFiles","Notes"
"R package: readr","Direct StatEdu Studio package","readr","2.2.0","MIT + file LICENSE","permissive-or-other","https://readr.tidyverse.org, https://github.com/tidyverse/readr","R-readr-2.2.0-LICENSE",""
"R package: readxl","Direct StatEdu Studio package","readxl","1.4.5","MIT + file LICENSE","permissive-or-other","https://readxl.tidyverse.org, https://github.com/tidyverse/readxl","R-readxl-1.4.5-LICENSE",""
"R package: rvest","Direct StatEdu Studio package","rvest","1.0.5","MIT + file LICENSE","permissive-or-other","https://rvest.tidyverse.org/, https://github.com/tidyverse/rvest","R-rvest-1.0.5-LICENSE",""
"R package: shiny","Direct StatEdu Studio package","shiny","1.13.0","MIT + file LICENSE","permissive-or-other","https://shiny.posit.co/, https://github.com/rstudio/shiny","R-shiny-1.13.0-LICENSE",""
"R package: xml2","Direct StatEdu Studio package","xml2","1.5.2","MIT + file LICENSE","permissive-or-other","https://xml2.r-lib.org, https://r-lib.r-universe.dev/xml2","R-xml2-1.5.2-LICENSE",""
"R package: cSEM","Bundled validation package","cSEM","0.6.1","GPL-3","GPL","https://github.com/FloSchuberth/cSEM/,
https://floschuberth.github.io/cSEM/","",""
"R package: admisc","Bundled dependency","admisc","0.40","GPL (>= 3)","GPL","https://github.com/dusadrian/admisc","",""
"R package: alabama","Bundled dependency","alabama","2025.1.0","GPL (>= 2)","GPL","https://cran.r-project.org/package=alabama","",""
"R package: AlgDesign","Bundled dependency","AlgDesign","1.2.1.2","GPL (>= 2)","GPL","https://github.com/jvbraun/AlgDesign","",""
"R package: backports","Bundled dependency","backports","1.5.0","GPL-2 | GPL-3","GPL","https://github.com/r-lib/backports","",""
"R package: base64enc","Bundled dependency","base64enc","0.1-6","GPL-2 | GPL-3","GPL","https://www.rforge.net/base64enc","",""
"R package: bit","Bundled dependency","bit","4.6.0","GPL-2 | GPL-3","GPL","https://github.com/r-lib/bit","",""
"R package: bit64","Bundled dependency","bit64","4.6.0-1","GPL-2 | GPL-3","GPL","https://github.com/r-lib/bit64","",""
"R package: carData","Bundled dependency","carData","3.0-6","GPL (>= 2)","GPL","https://r-forge.r-project.org/projects/car/,
https://CRAN.R-project.org/package=carData,
https://z.umn.edu/carbook","",""
"R package: clipr","Bundled dependency","clipr","0.8.0","GPL-3","GPL","https://github.com/mdlincoln/clipr,
http://matthewlincoln.net/clipr/","",""
"R package: collapse","Bundled dependency","collapse","2.1.7","GPL (>= 2) | file LICENSE","GPL","https://fastverse.org/collapse/,
https://github.com/fastverse/collapse","R-collapse-2.1.7-LICENSE",""
"R package: combinat","Bundled dependency","combinat","0.0-8","GPL-2","GPL","https://cran.r-project.org/package=combinat","",""
"R package: cowplot","Bundled dependency","cowplot","1.2.0","GPL-2","GPL","https://wilkelab.org/cowplot/","",""
"R package: cubature","Bundled dependency","cubature","2.1.4-1","GPL-3","GPL","https://bnaras.github.io/cubature/","",""
"R package: Deriv","Bundled dependency","Deriv","4.2.0","GPL (>= 3)","GPL","https://cran.r-project.org/package=Deriv","",""
"R package: diffobj","Bundled dependency","diffobj","0.3.6","GPL-2 | GPL-3","GPL","https://github.com/brodieG/diffobj","",""
"R package: digest","Bundled dependency","digest","0.6.39","GPL (>= 2)","GPL","https://github.com/eddelbuettel/digest,
https://eddelbuettel.github.io/digest/,
https://dirk.eddelbuettel.com/code/digest.html","",""
"R package: distributional","Bundled dependency","distributional","0.7.0","GPL-3","GPL","https://pkg.mitchelloharawild.com/distributional/,
https://github.com/mitchelloharawild/distributional","",""
"R package: doBy","Bundled dependency","doBy","4.7.1","GPL (>= 2)","GPL","https://github.com/hojsgaard/doBy","",""
"R package: expm","Bundled dependency","expm","1.0-0","GPL (>= 2)","GPL","https://R-Forge.R-project.org/projects/expm/","",""
"R package: fontquiver","Bundled dependency","fontquiver","0.2.1","GPL-3 | file LICENSE","GPL","https://cran.r-project.org/package=fontquiver","R-fontquiver-0.2.1-LICENSE",""
"R package: forecast","Bundled dependency","forecast","9.0.2","GPL-3","GPL","https://pkg.robjhyndman.com/forecast/,
https://github.com/robjhyndman/forecast","",""
"R package: Formula","Bundled dependency","Formula","1.2-5","GPL-2 | GPL-3","GPL","https://cran.r-project.org/package=Formula","",""
"R package: fracdiff","Bundled dependency","fracdiff","1.5-4","GPL (>= 2)","GPL","https://github.com/mmaechler/fracdiff","",""
"R package: future.apply","Bundled dependency","future.apply","1.20.2","GPL (>= 2)","GPL","https://future.apply.futureverse.org,
https://github.com/futureverse/future.apply","",""
"R package: gdtools","Bundled dependency","gdtools","0.5.0","GPL-3 | file LICENSE","GPL","https://davidgohel.github.io/gdtools/","R-gdtools-0.5.0-LICENSE",""
"R package: ggdist","Bundled dependency","ggdist","3.3.3","GPL (>= 3)","GPL","https://mjskay.github.io/ggdist/,
https://github.com/mjskay/ggdist/","",""
"R package: gmp","Bundled dependency","gmp","0.7-5.1","GPL (>= 2)","GPL","https://forgemia.inra.fr/sylvain.jasson/gmp","",""
"R package: GPArotation","Bundled dependency","GPArotation","2026.4-1","GPL (>= 2)","GPL","https://cran.r-project.org/package=GPArotation","",""
"R package: highr","Bundled dependency","highr","0.11","GPL","GPL","https://github.com/yihui/highr","",""
