"Model","Fit","Metric","StatEdu","External","Absolute error","Relative error","Pass"
"pls","saturated","srmr",0.11215304365977,0.112,0.000153043659769994,0.00136459657960127,TRUE
"pls","saturated","d_G",0.175648969255271,0.176,0.000351030744729003,0.00199449286777843,TRUE
"pls","saturated","d_ULS",0.566023734096761,0.566,2.37340967610411e-05,4.19312748411779e-05,TRUE
"plsc","saturated","srmr",0.122668303364477,0.123,0.000331696635523002,0.00269672061400814,TRUE
"plsc","saturated","d_G",0.281768771471191,0.282,0.000231228528808969,0.00081995932201762,TRUE
"plsc","saturated","d_ULS",0.677138069264375,0.677,0.000138069264374985,0.000203901199241359,TRUE
